iter	Passed	Remaining
0	70	14007
1	144	14302
2	162	10656
3	201	9893
4	270	10564
5	296	9596
6	373	10293
7	459	11021
8	518	11008
9	590	11225
10	627	10782
11	651	10209
12	722	10389
13	801	10653
14	874	10784
15	951	10941
16	978	10529
17	1016	10278
18	1058	10083
19	1139	10258
20	1197	10205
21	1280	10361
22	1394	10732
23	1481	10864
24	1558	10908
25	1634	10937
26	1709	10951
27	1780	10938
28	1826	10771
29	1900	10768
30	1974	10766
31	2050	10763
32	2131	10784
33	2202	10752
34	2233	10527
35	2306	10505
36	2379	10484
37	2460	10490
38	2523	10419
39	2593	10375
40	2665	10338
41	2741	10313
42	2816	10284
43	2889	10244
44	2966	10217
45	3038	10172
46	3114	10138
47	3189	10100
48	3261	10052
49	3339	10019
50	3413	9974
51	3490	9933
52	3569	9901
53	3644	9854
54	3720	9808
55	3792	9753
56	3867	9701
57	3943	9654
58	4015	9595
59	4089	9541
60	4163	9486
61	4236	9429
62	4285	9318
63	4359	9263
64	4436	9213
65	4511	9160
66	4595	9121
67	4664	9054
68	4736	8992
69	4810	8933
70	4887	8879
71	4962	8822
72	5039	8766
73	5112	8704
74	5186	8644
75	5262	8586
76	5338	8527
77	5410	8462
78	5482	8397
79	5554	8331
80	5623	8262
81	5696	8197
82	5772	8137
83	5841	8066
84	5916	8004
85	5951	7889
86	5986	7775
87	6063	7716
88	6129	7644
89	6201	7579
90	6235	7468
91	6307	7404
92	6384	7346
93	6457	7282
94	6531	7218
95	6614	7165
96	6691	7105
97	6764	7040
98	6834	6972
99	6913	6913
100	6989	6851
101	7062	6786
102	7141	6725
103	7217	6661
104	7289	6595
105	7364	6530
106	7438	6465
107	7491	6382
108	7572	6322
109	7644	6254
110	7715	6186
111	7792	6122
112	7863	6054
113	7916	5972
114	7997	5910
115	8078	5849
116	8150	5782
117	8227	5717
118	8301	5650
119	8381	5587
120	8463	5525
121	8572	5480
122	8655	5418
123	8738	5355
124	8812	5287
125	8885	5218
126	8958	5149
127	9031	5080
128	9105	5011
129	9183	4945
130	9255	4874
131	9332	4807
132	9404	4737
133	9474	4666
134	9548	4597
135	9620	4527
136	9697	4459
137	9768	4388
138	9842	4319
139	9915	4249
140	9992	4181
141	10063	4110
142	10145	4043
143	10215	3972
144	10296	3905
145	10370	3835
146	10444	3765
147	10524	3697
148	10597	3627
149	10671	3557
150	10752	3489
151	10827	3419
152	10900	3348
153	10974	3278
154	11055	3209
155	11125	3137
156	11197	3066
157	11275	2997
158	11354	2927
159	11425	2856
160	11500	2785
161	11572	2714
162	11643	2643
163	11721	2572
164	11792	2501
165	11864	2430
166	11936	2358
167	12007	2287
168	12083	2216
169	12161	2146
170	12232	2074
171	12303	2002
172	12380	1932
173	12452	1860
174	12524	1789
175	12597	1717
176	12673	1646
177	12748	1575
178	12834	1505
179	12911	1434
180	12989	1363
181	13065	1292
182	13142	1220
183	13214	1149
184	13292	1077
185	13364	1005
186	13445	934
187	13522	863
188	13598	791
189	13672	719
190	13743	647
191	13816	575
192	13886	503
193	13958	431
194	14027	359
195	14101	287
196	14173	215
197	14244	143
198	14320	71
199	14401	0
