iter	RMSE
0	43306.09802
1	42408.98784
2	40655.083
3	39139.04035
4	38068.3191
5	36524.3497
6	35698.19388
7	34739.18202
8	33610.02864
9	32797.14361
10	31531.80206
11	30406.25304
12	29837.10099
13	29122.80912
14	28374.18319
15	27827.223
16	26738.18377
17	26048.12492
18	25411.39128
19	24741.13192
20	24172.24447
21	23503.59208
22	22906.2911
23	22350.26204
24	21831.02968
25	20993.64142
26	20498.24793
27	20032.19026
28	19378.76678
29	18840.33245
30	18334.81849
31	17828.74221
32	17317.72761
33	16931.94465
34	16401.7978
35	15958.6666
36	15616.21436
37	15249.72924
38	14859.29326
39	14522.42268
40	14153.84245
41	13840.53509
42	13536.28415
43	13225.52991
44	12806.90473
45	12544.51537
46	12200.24155
47	11992.22361
48	11696.62869
49	11388.79001
50	11149.51596
51	10919.73392
52	10623.80997
53	10427.973
54	10261.43696
55	10082.1842
56	9925.035781
57	9714.242792
58	9528.084268
59	9355.946163
60	9178.300398
61	8972.88411
62	8767.700988
63	8621.097502
64	8495.201141
65	8338.874737
66	8178.638126
67	8040.044625
68	7880.450311
69	7782.222855
70	7671.311396
71	7552.061582
72	7384.057563
73	7260.461959
74	7141.069796
75	6971.906986
76	6871.089381
77	6774.472436
78	6677.283653
79	6585.417284
80	6473.948098
81	6390.370388
82	6284.068939
83	6203.906516
84	6106.099477
85	6022.509435
86	5928.937823
87	5859.033752
88	5788.822307
89	5734.44587
90	5682.016205
91	5604.000163
92	5544.765734
93	5485.345839
94	5409.498739
95	5341.158263
96	5268.394267
97	5215.361378
98	5149.45171
99	5077.355445
100	5013.569747
101	4951.239557
102	4898.887316
103	4832.085646
104	4754.382815
105	4689.613535
106	4634.842875
107	4562.364291
108	4516.771663
109	4462.43035
110	4417.751798
111	4363.81919
112	4315.358925
113	4276.214133
114	4226.714202
115	4172.89479
116	4105.923069
117	4064.62227
118	4010.413311
119	3959.516012
120	3912.730544
121	3862.985262
122	3818.747491
123	3779.304932
124	3734.578266
125	3695.073698
126	3656.779535
127	3615.778552
128	3586.479483
129	3545.279233
130	3504.820644
131	3460.55189
132	3416.695671
133	3370.6316
134	3332.628247
135	3300.473069
136	3265.414985
137	3235.121685
138	3187.574082
139	3155.134938
140	3129.698423
141	3095.195669
142	3065.493247
143	3027.203692
144	2999.159882
145	2956.922754
146	2927.38578
147	2901.772859
148	2862.42568
149	2831.69421
150	2806.845367
151	2779.919809
152	2746.148334
153	2716.738037
154	2693.706833
155	2663.114027
156	2639.326439
157	2608.206138
158	2574.549844
159	2547.665154
160	2520.069125
161	2495.178038
162	2468.816112
163	2444.351323
164	2419.296252
165	2392.007058
166	2366.288244
167	2345.6944
168	2324.711036
169	2299.530204
170	2273.710661
171	2250.878651
172	2229.8253
173	2215.607987
174	2195.14531
175	2175.355347
176	2152.267204
177	2132.751644
178	2113.292533
179	2095.402883
180	2076.567079
181	2054.853335
182	2038.886684
183	2019.962228
184	2001.133874
185	1982.135942
186	1966.131159
187	1949.641395
188	1929.962662
189	1912.144356
190	1896.15627
191	1876.923643
192	1860.287298
193	1847.622127
194	1832.413488
195	1818.178182
196	1800.507551
197	1780.443171
198	1766.640481
199	1752.760169
