iter	Passed	Remaining
0	75	14978
1	153	15160
2	173	11401
3	216	10625
4	294	11472
5	326	10540
6	403	11119
7	481	11554
8	555	11798
9	632	12010
10	688	11822
11	762	11940
12	840	12088
13	917	12191
14	989	12199
15	1065	12254
16	1143	12310
17	1229	12430
18	1310	12486
19	1384	12458
20	1457	12422
21	1587	12847
22	1668	12842
23	1751	12840
24	1824	12772
25	1897	12695
26	1941	12440
27	2017	12393
28	2094	12350
29	2166	12275
30	2240	12216
31	2314	12149
32	2346	11876
33	2421	11824
34	2496	11768
35	2572	11719
36	2628	11577
37	2701	11518
38	2775	11456
39	2852	11410
40	2923	11336
41	2996	11274
42	3071	11215
43	3141	11137
44	3214	11070
45	3286	11001
46	3360	10940
47	3435	10878
48	3506	10806
49	3582	10746
50	3661	10697
51	3737	10638
52	3817	10587
53	3887	10509
54	3960	10441
55	4037	10382
56	4115	10324
57	4187	10252
58	4260	10182
59	4314	10067
60	4389	10001
61	4466	9942
62	4539	9872
63	4556	9683
64	4628	9613
65	4701	9545
66	4778	9486
67	4851	9417
68	4924	9348
69	5001	9287
70	5076	9224
71	5147	9151
72	5224	9089
73	5294	9015
74	5369	8948
75	5440	8877
76	5511	8803
77	5584	8734
78	5660	8669
79	5732	8598
80	5804	8526
81	5882	8464
82	5952	8391
83	6028	8324
84	6098	8251
85	6158	8163
86	6229	8091
87	6310	8031
88	6381	7958
89	6455	7890
90	6530	7821
91	6609	7758
92	6688	7695
93	6760	7623
94	6834	7554
95	6908	7484
96	6982	7414
97	7058	7347
98	7132	7276
99	7206	7206
100	7278	7134
101	7358	7069
102	7430	6998
103	7452	6879
104	7522	6806
105	7597	6737
106	7672	6668
107	7742	6595
108	7812	6522
109	7873	6442
110	7954	6377
111	8028	6308
112	8106	6241
113	8185	6175
114	8257	6103
115	8309	6017
116	8383	5947
117	8463	5881
118	8536	5810
119	8611	5741
120	8687	5671
121	8763	5603
122	8837	5532
123	8909	5460
124	8985	5391
125	9057	5319
126	9129	5247
127	9205	5178
128	9281	5108
129	9353	5036
130	9430	4966
131	9506	4897
132	9581	4826
133	9655	4755
134	9731	4685
135	9802	4612
136	9874	4541
137	9956	4473
138	10030	4401
139	10105	4330
140	10176	4258
141	10248	4185
142	10319	4113
143	10391	4041
144	10469	3971
145	10540	3898
146	10613	3826
147	10684	3754
148	10759	3682
149	10840	3613
150	10920	3543
151	10997	3473
152	11072	3401
153	11144	3329
154	11220	3257
155	11294	3185
156	11368	3113
157	11478	3051
158	11580	2986
159	11658	2914
160	11733	2842
161	11811	2770
162	11884	2697
163	11962	2625
164	12049	2555
165	12128	2484
166	12204	2411
167	12279	2338
168	12350	2265
169	12425	2192
170	12504	2120
171	12585	2048
172	12674	1978
173	12750	1905
174	12832	1833
175	12917	1761
176	12996	1688
177	13074	1615
178	13162	1544
179	13240	1471
180	13313	1397
181	13388	1324
182	13462	1250
183	13537	1177
184	13618	1104
185	13692	1030
186	13767	957
187	13842	883
188	13920	810
189	14007	737
190	14101	664
191	14185	591
192	14259	517
193	14333	443
194	14411	369
195	14488	295
196	14570	221
197	14646	147
198	14720	73
199	14805	0
