iter	RMSE
0	41124.65019
1	40062.63642
2	38407.32702
3	36953.4804
4	36136.11408
5	34825.23743
6	33993.26806
7	33141.77294
8	32160.65158
9	31321.13069
10	30359.89261
11	29649.30002
12	29014.53742
13	28326.28025
14	27612.0412
15	26917.05701
16	26122.92682
17	25563.28658
18	24835.6345
19	24207.87496
20	23537.70254
21	22898.66355
22	22311.19146
23	21771.76391
24	21253.89412
25	20793.53929
26	20296.7679
27	19701.23622
28	19127.48586
29	18625.16167
30	18117.15548
31	17738.01672
32	17152.08908
33	16673.39052
34	16292.92497
35	15912.42258
36	15477.81471
37	15103.18072
38	14698.39883
39	14303.81469
40	13969.92269
41	13692.56823
42	13398.10368
43	13161.38357
44	12774.08525
45	12543.48567
46	12236.78358
47	12031.73447
48	11784.19923
49	11533.2834
50	11304.00598
51	11002.9867
52	10715.9303
53	10439.37794
54	10201.93657
55	9967.39733
56	9784.682935
57	9529.146573
58	9341.286443
59	9137.102043
60	8955.449131
61	8775.170125
62	8651.075238
63	8379.666636
64	8185.700058
65	8006.447979
66	7892.433863
67	7736.987177
68	7601.172435
69	7458.164952
70	7297.075487
71	7176.419768
72	7044.415701
73	6907.227467
74	6793.260414
75	6681.321062
76	6570.795365
77	6448.971982
78	6330.621368
79	6242.51811
80	6149.934811
81	6041.803834
82	5958.623414
83	5873.424407
84	5784.330147
85	5699.024908
86	5633.506941
87	5515.647171
88	5443.235656
89	5351.501159
90	5284.073004
91	5209.710154
92	5141.679603
93	5058.975081
94	4980.680479
95	4887.91407
96	4823.269129
97	4750.998894
98	4669.384596
99	4597.984892
100	4521.571062
101	4466.829327
102	4414.555278
103	4339.843489
104	4279.390299
105	4235.074661
106	4167.639108
107	4107.285663
108	4042.836926
109	3982.908817
110	3940.08272
111	3890.057315
112	3850.597747
113	3795.706748
114	3740.921781
115	3691.233894
116	3646.570188
117	3593.447132
118	3539.967471
119	3496.373457
120	3457.167537
121	3406.077871
122	3373.080389
123	3328.92591
124	3291.33698
125	3258.969049
126	3223.968169
127	3186.156936
128	3153.747509
129	3113.32338
130	3082.137756
131	3046.658946
132	3012.504209
133	2971.196054
134	2940.296078
135	2905.465846
136	2866.793697
137	2831.387184
138	2784.625533
139	2745.492357
140	2713.455733
141	2685.650117
142	2655.053281
143	2612.419811
144	2575.402293
145	2540.655597
146	2512.89644
147	2485.087108
148	2462.351832
149	2437.831257
150	2409.230621
151	2382.218156
152	2346.426823
153	2318.880631
154	2292.264165
155	2269.662231
156	2243.918495
157	2218.198658
158	2194.687773
159	2172.925182
160	2141.931077
161	2119.155963
162	2096.600349
163	2076.621351
164	2054.799375
165	2035.420715
166	2012.509314
167	1991.281033
168	1969.259846
169	1949.597743
170	1931.262026
171	1910.196346
172	1892.36091
173	1871.471083
174	1854.602759
175	1837.585271
176	1817.4542
177	1797.420464
178	1779.484769
179	1760.576953
180	1741.708142
181	1728.668604
182	1706.301502
183	1690.189126
184	1666.747684
185	1649.383903
186	1633.137213
187	1618.482339
188	1603.871177
189	1586.8703
190	1571.464303
191	1557.691396
192	1542.628527
193	1525.490617
194	1508.309177
195	1493.96824
196	1478.919785
197	1468.227691
198	1449.670627
199	1433.764912
